time,emotion,duration_since_last,abrupt_change
2025-01-26T23:52:30.408086,Felicidad,0.204432,False
2025-01-26T23:52:30.615760,Sorpresa,0.207674,True
2025-01-26T23:52:30.820245,Sorpresa,0.204485,False
2025-01-26T23:52:31.016986,Sorpresa,0.196741,False
2025-01-26T23:52:31.215648,Sorpresa,0.198662,False
2025-01-26T23:52:31.417883,Sorpresa,0.202235,False
2025-01-26T23:52:31.617534,Sorpresa,0.199651,False
2025-01-26T23:52:31.815352,Sorpresa,0.197818,False
2025-01-26T23:52:32.018113,Sorpresa,0.202761,False
2025-01-26T23:52:32.217743,Sorpresa,0.19963,False
2025-01-26T23:52:32.417088,Sorpresa,0.199345,False
2025-01-26T23:52:32.614907,Sorpresa,0.197819,False
2025-01-26T23:52:32.822055,Sorpresa,0.207148,False
2025-01-26T23:52:33.014151,Sorpresa,0.192096,False
2025-01-26T23:52:33.217065,Miedo,0.202914,True
2025-01-26T23:52:33.413622,Tristeza,0.196557,True
2025-01-26T23:52:33.613708,Miedo,0.200086,True
2025-01-26T23:52:33.817535,Miedo,0.203827,False
2025-01-26T23:52:34.016376,Miedo,0.198841,False
2025-01-26T23:52:34.207464,Miedo,0.191088,False
2025-01-26T23:52:34.412516,Miedo,0.205052,False
2025-01-26T23:52:34.605262,Miedo,0.192746,False
2025-01-26T23:52:34.810727,Miedo,0.205465,False
2025-01-26T23:52:35.014359,Miedo,0.203632,False
2025-01-26T23:52:35.216254,Miedo,0.201895,False
2025-01-26T23:52:35.421656,Sorpresa,0.205402,True
2025-01-26T23:52:35.611595,Miedo,0.189939,True
2025-01-26T23:52:35.806648,Miedo,0.195053,False
2025-01-26T23:52:36.019892,Miedo,0.213244,False
2025-01-26T23:52:36.215828,Miedo,0.195936,False
2025-01-26T23:52:36.408847,Tristeza,0.193019,True
2025-01-26T23:52:36.604502,Miedo,0.195655,True
2025-01-26T23:52:36.814744,Tristeza,0.210242,True
2025-01-26T23:52:37.003082,Miedo,0.188338,True
2025-01-26T23:52:37.210902,Sorpresa,0.20782,True
2025-01-26T23:52:37.413365,Sorpresa,0.202463,False
2025-01-26T23:52:37.608409,Felicidad,0.195044,True
2025-01-26T23:52:37.807422,Tristeza,0.199013,True
2025-01-26T23:52:38.003252,Felicidad,0.19583,True
2025-01-26T23:52:38.203892,Felicidad,0.20064,False
2025-01-26T23:52:38.405012,Tristeza,0.20112,True
2025-01-26T23:52:38.602221,Miedo,0.197209,True
2025-01-26T23:52:38.800672,Miedo,0.198451,False
2025-01-26T23:52:39.001444,Miedo,0.200772,False
2025-01-26T23:52:39.203136,Miedo,0.201692,False
2025-01-26T23:52:39.408683,Miedo,0.205547,False
2025-01-26T23:52:39.603256,Miedo,0.194573,False
2025-01-26T23:52:39.804596,Miedo,0.20134,False
2025-01-26T23:52:40.004666,Miedo,0.20007,False
2025-01-26T23:52:40.202521,Miedo,0.197855,False
2025-01-26T23:52:40.405232,Miedo,0.202711,False
2025-01-26T23:52:40.609216,Miedo,0.203984,False
2025-01-26T23:52:40.801782,Miedo,0.192566,False
2025-01-26T23:52:41.006394,Miedo,0.204612,False
2025-01-26T23:52:41.801651,Miedo,0.795257,False
2025-01-26T23:52:42.200483,Miedo,0.398832,False
2025-01-26T23:52:42.609977,Felicidad,0.409494,True
2025-01-26T23:52:42.812631,Felicidad,0.202654,False
2025-01-26T23:52:43.006418,Neutral,0.193787,True
2025-01-26T23:52:43.208852,Tristeza,0.202434,True
2025-01-26T23:52:43.432231,Neutral,0.223379,True
2025-01-26T23:57:02.684925,Tristeza,259.252694,True
2025-01-26T23:57:02.887195,Miedo,0.20227,True
2025-01-26T23:57:03.277403,Felicidad,0.390208,True
2025-01-26T23:57:03.485179,Felicidad,0.207776,False
2025-01-26T23:57:03.681172,Felicidad,0.195993,False
2025-01-26T23:57:04.283808,Felicidad,0.602636,False
2025-01-26T23:57:04.689813,Felicidad,0.406005,False
2025-01-26T23:57:06.075991,Felicidad,1.386178,False
2025-01-26T23:57:06.479775,Tristeza,0.403784,True
2025-01-26T23:57:06.687162,Felicidad,0.207387,True
