time,emotion
2025-01-26T00:33:06.656790,Neutral
2025-01-26T00:33:06.737402,Neutral
2025-01-26T00:33:06.852648,Neutral
2025-01-26T00:33:06.935363,Neutral
2025-01-26T00:33:07.061457,Miedo
2025-01-26T00:33:07.130513,Neutral
2025-01-26T00:33:07.257082,Neutral
2025-01-26T00:33:07.339409,Neutral
2025-01-26T00:33:07.464766,Neutral
2025-01-26T00:33:07.542792,Neutral
2025-01-26T00:33:07.659645,Neutral
2025-01-26T00:33:07.751100,Neutral
2025-01-26T00:33:07.856126,Neutral
2025-01-26T00:33:08.055709,Neutral
2025-01-26T00:33:08.140125,Neutral
2025-01-26T00:33:08.256713,Neutral
2025-01-26T00:33:08.346807,Neutral
2025-01-26T00:33:08.457255,Neutral
2025-01-26T00:33:08.543930,Neutral
2025-01-26T00:33:08.656513,Neutral
2025-01-26T00:33:08.739532,Neutral
2025-01-26T00:33:08.857942,Neutral
2025-01-26T00:33:08.952813,Neutral
2025-01-26T00:33:09.056768,Neutral
2025-01-26T00:33:09.137040,Neutral
2025-01-26T00:33:09.253540,Neutral
2025-01-26T00:33:09.339630,Neutral
2025-01-26T00:33:09.458515,Neutral
2025-01-26T00:33:09.533004,Neutral
2025-01-26T00:33:09.648483,Neutral
2025-01-26T00:33:09.950144,Neutral
2025-01-26T00:33:10.055623,Tristeza
2025-01-26T00:33:10.139515,Neutral
2025-01-26T00:33:10.253098,Neutral
2025-01-26T00:33:10.341203,Tristeza
2025-01-26T00:33:10.455648,Neutral
2025-01-26T00:33:10.539410,Neutral
2025-01-26T00:33:10.655213,Neutral
2025-01-26T00:33:10.731162,Neutral
2025-01-26T00:33:10.848381,Neutral
2025-01-26T00:33:10.938821,Neutral
2025-01-26T00:33:11.053445,Neutral
2025-01-26T00:33:11.139060,Tristeza
2025-01-26T00:33:11.266588,Neutral
2025-01-26T00:33:11.339347,Neutral
2025-01-26T00:33:11.453372,Neutral
2025-01-26T00:33:11.538786,Neutral
2025-01-26T00:33:11.652501,Tristeza
2025-01-26T00:33:11.735909,Neutral
2025-01-26T00:33:11.853577,Neutral
2025-01-26T00:33:11.938299,Neutral
2025-01-26T00:33:12.052585,Neutral
2025-01-26T00:33:12.138202,Neutral
2025-01-26T00:33:12.255620,Neutral
2025-01-26T00:33:12.344072,Neutral
2025-01-26T00:33:12.458907,Neutral
2025-01-26T00:33:12.539149,Neutral
2025-01-26T00:33:12.655676,Tristeza
2025-01-26T00:33:12.739252,Neutral
2025-01-26T00:33:12.861026,Neutral
2025-01-26T00:33:12.939424,Neutral
2025-01-26T00:33:13.063948,Neutral
2025-01-26T00:33:13.141042,Neutral
2025-01-26T00:33:13.257237,Neutral
2025-01-26T00:33:13.339070,Neutral
2025-01-26T00:33:13.454006,Neutral
2025-01-26T00:33:13.540888,Neutral
2025-01-26T00:33:13.660666,Neutral
2025-01-26T00:33:13.746479,Neutral
2025-01-26T00:33:13.852865,Neutral
2025-01-26T00:33:13.943072,Neutral
2025-01-26T00:33:14.057819,Neutral
2025-01-26T00:33:14.144160,Neutral
2025-01-26T00:33:14.339286,Neutral
2025-01-26T00:33:14.453288,Neutral
2025-01-26T00:33:14.655433,Neutral
2025-01-26T00:33:14.741000,Neutral
2025-01-26T00:33:14.856310,Neutral
2025-01-26T00:33:14.938544,Neutral
2025-01-26T00:33:15.053875,Neutral
2025-01-26T00:33:15.147877,Neutral
2025-01-26T00:33:15.257042,Neutral
2025-01-26T00:33:15.334426,Neutral
2025-01-26T00:33:15.457853,Neutral
2025-01-26T00:33:15.538772,Neutral
2025-01-26T00:33:15.654057,Neutral
2025-01-26T00:33:15.740941,Neutral
2025-01-26T00:33:15.855686,Neutral
2025-01-26T00:33:15.940269,Neutral
2025-01-26T00:33:16.059967,Neutral
2025-01-26T00:33:16.138527,Neutral
2025-01-26T00:33:16.253625,Neutral
2025-01-26T00:33:16.341378,Neutral
2025-01-26T00:33:16.455555,Neutral
2025-01-26T00:33:16.537955,Neutral
2025-01-26T00:33:16.657764,Neutral
2025-01-26T00:33:16.743154,Neutral
2025-01-26T00:33:16.855987,Neutral
2025-01-26T00:33:16.939961,Tristeza
2025-01-26T00:33:17.055876,Tristeza
2025-01-26T00:33:17.142998,Neutral
2025-01-26T00:33:17.260691,Neutral
2025-01-26T00:33:17.344365,Neutral
2025-01-26T00:33:17.455322,Tristeza
2025-01-26T00:33:17.543678,Tristeza
2025-01-26T00:33:17.659811,Neutral
2025-01-26T00:33:17.745214,Neutral
2025-01-26T00:33:17.870834,Neutral
2025-01-26T00:33:17.951038,Neutral
2025-01-26T00:33:18.065657,Neutral
2025-01-26T00:33:18.146021,Neutral
2025-01-26T00:33:18.271392,Neutral
2025-01-26T00:33:18.350532,Tristeza
2025-01-26T00:33:18.457370,Tristeza
2025-01-26T00:33:18.539133,Neutral
2025-01-26T00:33:18.658117,Neutral
2025-01-26T00:33:18.739740,Neutral
2025-01-26T00:33:18.852348,Tristeza
2025-01-26T00:33:18.938204,Neutral
2025-01-26T00:33:19.056337,Neutral
2025-01-26T00:33:19.139221,Neutral
2025-01-26T00:33:19.256949,Neutral
2025-01-26T00:33:19.335836,Neutral
2025-01-26T00:33:19.457978,Neutral
2025-01-26T00:33:19.537293,Tristeza
2025-01-26T00:33:19.738633,Neutral
2025-01-26T00:33:19.941599,Tristeza
2025-01-26T00:33:20.055155,Tristeza
2025-01-26T00:33:20.141047,Neutral
2025-01-26T00:33:20.264064,Tristeza
2025-01-26T00:33:20.350508,Neutral
2025-01-26T00:33:20.455796,Tristeza
2025-01-26T00:33:20.540486,Tristeza
2025-01-26T00:33:20.653639,Neutral
2025-01-26T00:33:20.739106,Neutral
2025-01-26T00:33:20.946774,Neutral
2025-01-26T00:33:21.059690,Tristeza
2025-01-26T00:33:21.140614,Neutral
2025-01-26T00:33:21.257022,Neutral
2025-01-26T00:33:21.339802,Neutral
